,Region/Country/Area,Year,Data,Enrollments (Thousands)
3609,Honduras,2004,Students enrolled in tertiary education (thousands),123
3610,Honduras,2004,Gross enrollment ratio - Tertiary (male),13.2
3611,Honduras,2004,Gross enrollment ratio - Tertiary (female),19.0
3612,Honduras,2005,Students enrolled in primary education (thousands),"1,232"
3613,Honduras,2005,Gross enrollement ratio - Primary (male),105.5
3614,Honduras,2005,Gross enrollment ratio - Primary (female),105.4
3615,Honduras,2010,Students enrolled in primary education (thousands),"1,275"
3616,Honduras,2010,Gross enrollement ratio - Primary (male),105.2
3617,Honduras,2010,Gross enrollment ratio - Primary (female),104.9
3618,Honduras,2010,Students enrolled in secondary education (thousands),655
3619,Honduras,2010,Gross enrollment ratio - Secondary (male),61.3
3620,Honduras,2010,Gross enrollment ratio - Secondary (female),75.3
3621,Honduras,2010,Students enrolled in tertiary education (thousands),170
3622,Honduras,2010,Gross enrollment ratio - Tertiary (male),18.0
3623,Honduras,2010,Gross enrollment ratio - Tertiary (female),20.8
3624,Honduras,2014,Students enrolled in primary education (thousands),"1,150"
3625,Honduras,2014,Gross enrollement ratio - Primary (male),96.0
3626,Honduras,2014,Gross enrollment ratio - Primary (female),94.2
3627,Honduras,2014,Students enrolled in secondary education (thousands),620
3628,Honduras,2014,Gross enrollment ratio - Secondary (male),57.3
3629,Honduras,2014,Gross enrollment ratio - Secondary (female),67.1
3630,Honduras,2014,Students enrolled in tertiary education (thousands),186
3631,Honduras,2014,Gross enrollment ratio - Tertiary (male),16.7
3632,Honduras,2014,Gross enrollment ratio - Tertiary (female),22.8
3633,Honduras,2015,Students enrolled in primary education (thousands),"1,154"
3634,Honduras,2015,Gross enrollement ratio - Primary (male),96.7
3635,Honduras,2015,Gross enrollment ratio - Primary (female),95.8
3636,Honduras,2015,Students enrolled in secondary education (thousands),638
3637,Honduras,2015,Gross enrollment ratio - Secondary (male),58.0
3638,Honduras,2015,Gross enrollment ratio - Secondary (female),69.2
3639,Honduras,2015,Students enrolled in tertiary education (thousands),195
3640,Honduras,2015,Gross enrollment ratio - Tertiary (male),17.4
3641,Honduras,2015,Gross enrollment ratio - Tertiary (female),23.7
3642,Honduras,2016,Students enrolled in primary education (thousands),"1,145"
3643,Honduras,2016,Gross enrollement ratio - Primary (male),96.6
3644,Honduras,2016,Gross enrollment ratio - Primary (female),95.8
3645,Honduras,2016,Students enrolled in secondary education (thousands),652
3646,Honduras,2016,Gross enrollment ratio - Secondary (male),59.8
3647,Honduras,2016,Gross enrollment ratio - Secondary (female),69.6
3648,Hungary,2005,Students enrolled in primary education (thousands),431
3649,Hungary,2005,Gross enrollement ratio - Primary (male),99.1
3650,Hungary,2005,Gross enrollment ratio - Primary (female),97.1
3651,Hungary,2005,Students enrolled in secondary education (thousands),960
3652,Hungary,2005,Gross enrollment ratio - Secondary (male),96.7
3653,Hungary,2005,Gross enrollment ratio - Secondary (female),95.8
3654,Hungary,2005,Students enrolled in tertiary education (thousands),436
3655,Hungary,2005,Gross enrollment ratio - Tertiary (male),53.0
3656,Hungary,2005,Gross enrollment ratio - Tertiary (female),77.5
3657,Hungary,2010,Students enrolled in primary education (thousands),388
3658,Hungary,2010,Gross enrollement ratio - Primary (male),101.2
3659,Hungary,2010,Gross enrollment ratio - Primary (female),100.5
3660,Hungary,2010,Students enrolled in secondary education (thousands),905
3661,Hungary,2010,Gross enrollment ratio - Secondary (male),97.7
3662,Hungary,2010,Gross enrollment ratio - Secondary (female),96.4
3663,Hungary,2010,Students enrolled in tertiary education (thousands),389
3664,Hungary,2010,Gross enrollment ratio - Tertiary (male),54.1
3665,Hungary,2010,Gross enrollment ratio - Tertiary (female),73.8
3666,Hungary,2014,Students enrolled in primary education (thousands),393
3667,Hungary,2014,Gross enrollement ratio - Primary (male),102.2
3668,Hungary,2014,Gross enrollment ratio - Primary (female),101.5
3669,Hungary,2014,Students enrolled in secondary education (thousands),858
3670,Hungary,2014,Gross enrollment ratio - Secondary (male),103.9
3671,Hungary,2014,Gross enrollment ratio - Secondary (female),104.5
3672,Hungary,2014,Students enrolled in tertiary education (thousands),329
3673,Hungary,2014,Gross enrollment ratio - Tertiary (male),45.5
3674,Hungary,2014,Gross enrollment ratio - Tertiary (female),58.9
3675,Hungary,2015,Students enrolled in primary education (thousands),396
3676,Hungary,2015,Gross enrollement ratio - Primary (male),102.5
3677,Hungary,2015,Gross enrollment ratio - Primary (female),102.1
3678,Hungary,2015,Students enrolled in secondary education (thousands),827
3679,Hungary,2015,Gross enrollment ratio - Secondary (male),102.7
3680,Hungary,2015,Gross enrollment ratio - Secondary (female),103.3
3681,Hungary,2015,Students enrolled in tertiary education (thousands),308
3682,Hungary,2015,Gross enrollment ratio - Tertiary (male),43.5
3683,Hungary,2015,Gross enrollment ratio - Tertiary (female),54.7
3684,Hungary,2016,Students enrolled in primary education (thousands),394
3685,Hungary,2016,Gross enrollement ratio - Primary (male),102.0
3686,Hungary,2016,Gross enrollment ratio - Primary (female),101.7
3687,Hungary,2016,Students enrolled in secondary education (thousands),805
3688,Hungary,2016,Gross enrollment ratio - Secondary (male),102.3
3689,Hungary,2016,Gross enrollment ratio - Secondary (female),102.3
3690,Hungary,2016,Students enrolled in tertiary education (thousands),295
3691,Hungary,2016,Gross enrollment ratio - Tertiary (male),42.8
3692,Hungary,2016,Gross enrollment ratio - Tertiary (female),53.5
3693,Iceland,2005,Students enrolled in primary education (thousands),31
3694,Iceland,2005,Gross enrollement ratio - Primary (male),98.0
3695,Iceland,2005,Gross enrollment ratio - Primary (female),95.7
3696,Iceland,2005,Students enrolled in secondary education (thousands),33
3697,Iceland,2005,Gross enrollment ratio - Secondary (male),110.5
3698,Iceland,2005,Gross enrollment ratio - Secondary (female),112.1
3699,Iceland,2005,Students enrolled in tertiary education (thousands),15
3700,Iceland,2005,Gross enrollment ratio - Tertiary (male),48.1
3701,Iceland,2005,Gross enrollment ratio - Tertiary (female),92.5
3702,Iceland,2010,Students enrolled in primary education (thousands),30
3703,Iceland,2010,Gross enrollement ratio - Primary (male),99.0
3704,Iceland,2010,Gross enrollment ratio - Primary (female),99.6
3705,Iceland,2010,Students enrolled in secondary education (thousands),36
3706,Iceland,2010,Gross enrollment ratio - Secondary (male),106.5
3707,Iceland,2010,Gross enrollment ratio - Secondary (female),108.2
3708,Iceland,2010,Students enrolled in tertiary education (thousands),18
3709,Iceland,2010,Gross enrollment ratio - Tertiary (male),56.8
3710,Iceland,2010,Gross enrollment ratio - Tertiary (female),101.5
3711,Iceland,2014,Students enrolled in primary education (thousands),30
3712,Iceland,2014,Gross enrollement ratio - Primary (male),98.7
3713,Iceland,2014,Gross enrollment ratio - Primary (female),97.7
3714,Iceland,2014,Students enrolled in secondary education (thousands),38
3715,Iceland,2014,Gross enrollment ratio - Secondary (male),116.6
3716,Iceland,2014,Gross enrollment ratio - Secondary (female),120.7
3717,Iceland,2014,Students enrolled in tertiary education (thousands),20
3718,Iceland,2014,Gross enrollment ratio - Tertiary (male),59.8
3719,Iceland,2014,Gross enrollment ratio - Tertiary (female),104.1
3720,Iceland,2015,Students enrolled in primary education (thousands),30
3721,Iceland,2015,Gross enrollement ratio - Primary (male),98.7
3722,Iceland,2015,Gross enrollment ratio - Primary (female),98.6
3723,Iceland,2015,Students enrolled in secondary education (thousands),37
3724,Iceland,2015,Gross enrollment ratio - Secondary (male),118.6
3725,Iceland,2015,Gross enrollment ratio - Secondary (female),119.6
3726,Iceland,2015,Students enrolled in tertiary education (thousands),19
3727,Iceland,2015,Gross enrollment ratio - Tertiary (male),54.7
3728,Iceland,2015,Gross enrollment ratio - Tertiary (female),98.0
3729,India,2003,Students enrolled in primary education (thousands),"125,569"
3730,India,2003,Gross enrollement ratio - Primary (male),104.3
3731,India,2003,Gross enrollment ratio - Primary (female),101.5
3732,India,2003,Students enrolled in secondary education (thousands),"81,050"
3733,India,2003,Gross enrollment ratio - Secondary (male),55.0
3734,India,2003,Gross enrollment ratio - Secondary (female),44.2
3735,India,2003,Students enrolled in tertiary education (thousands),"11,295"
3736,India,2003,Gross enrollment ratio - Tertiary (male),12.7
3737,India,2003,Gross enrollment ratio - Tertiary (female),8.5
3738,India,2005,Students enrolled in secondary education (thousands),"89,462"
3739,India,2005,Gross enrollment ratio - Secondary (male),59.2
3740,India,2005,Gross enrollment ratio - Secondary (female),48.7
3741,India,2005,Students enrolled in tertiary education (thousands),"11,777"
3742,India,2005,Gross enrollment ratio - Tertiary (male),12.5
3743,India,2005,Gross enrollment ratio - Tertiary (female),8.8
3744,India,2010,Students enrolled in primary education (thousands),"138,414"
3745,India,2010,Gross enrollement ratio - Primary (male),108.1
3746,India,2010,Gross enrollment ratio - Primary (female),110.4
3747,India,2010,Students enrolled in secondary education (thousands),"107,687"
3748,India,2010,Gross enrollment ratio - Secondary (male),65.5
3749,India,2010,Gross enrollment ratio - Secondary (female),60.9
3750,India,2010,Students enrolled in tertiary education (thousands),"20,741"
3751,India,2010,Gross enrollment ratio - Tertiary (male),20.6
3752,India,2010,Gross enrollment ratio - Tertiary (female),15.0
3753,India,2014,Students enrolled in primary education (thousands),"137,809"
3754,India,2014,Gross enrollement ratio - Primary (male),102.3
3755,India,2014,Gross enrollment ratio - Primary (female),114.0
3756,India,2014,Students enrolled in secondary education (thousands),"129,439"
3757,India,2014,Gross enrollment ratio - Secondary (male),73.8
3758,India,2014,Gross enrollment ratio - Secondary (female),74.8
3759,India,2014,Students enrolled in tertiary education (thousands),"30,306"
3760,India,2014,Gross enrollment ratio - Tertiary (male),25.7
3761,India,2014,Gross enrollment ratio - Tertiary (female),25.3
3762,India,2015,Students enrolled in primary education (thousands),"138,518"
3763,India,2015,Gross enrollement ratio - Primary (male),102.7
3764,India,2015,Gross enrollment ratio - Primary (female),115.0
3765,India,2015,Students enrolled in secondary education (thousands),"129,542"
3766,India,2015,Gross enrollment ratio - Secondary (male),73.5
3767,India,2015,Gross enrollment ratio - Secondary (female),74.5
3768,India,2015,Students enrolled in tertiary education (thousands),"32,107"
3769,India,2015,Gross enrollment ratio - Tertiary (male),27.0
3770,India,2015,Gross enrollment ratio - Tertiary (female),26.7
3771,India,2016,Students enrolled in primary education (thousands),"145,803"
3772,India,2016,Gross enrollement ratio - Primary (male),106.1
3773,India,2016,Gross enrollment ratio - Primary (female),123.9
3774,India,2016,Students enrolled in secondary education (thousands),"132,161"
3775,India,2016,Gross enrollment ratio - Secondary (male),74.6
3776,India,2016,Gross enrollment ratio - Secondary (female),75.8
3777,India,2016,Students enrolled in tertiary education (thousands),"32,392"
3778,India,2016,Gross enrollment ratio - Tertiary (male),26.9
3779,India,2016,Gross enrollment ratio - Tertiary (female),27.0
3780,Indonesia,2004,Students enrolled in primary education (thousands),"29,142"
3781,Indonesia,2004,Gross enrollement ratio - Primary (male),109.6
3782,Indonesia,2004,Gross enrollment ratio - Primary (female),108.0
3783,Indonesia,2004,Students enrolled in secondary education (thousands),"16,354"
3784,Indonesia,2004,Gross enrollment ratio - Secondary (male),62.1
3785,Indonesia,2004,Gross enrollment ratio - Secondary (female),61.6
3786,Indonesia,2004,Students enrolled in tertiary education (thousands),"3,551"
3787,Indonesia,2004,Gross enrollment ratio - Tertiary (male),18.5
3788,Indonesia,2004,Gross enrollment ratio - Tertiary (female),14.7
3789,Indonesia,2005,Students enrolled in primary education (thousands),"29,150"
3790,Indonesia,2005,Gross enrollement ratio - Primary (male),109.5
3791,Indonesia,2005,Gross enrollment ratio - Primary (female),106.1
3792,Indonesia,2005,Students enrolled in secondary education (thousands),"15,993"
3793,Indonesia,2005,Gross enrollment ratio - Secondary (male),60.4
3794,Indonesia,2005,Gross enrollment ratio - Secondary (female),59.8
3795,Indonesia,2005,Students enrolled in tertiary education (thousands),"3,662"
3796,Indonesia,2010,Students enrolled in primary education (thousands),"30,342"
3797,Indonesia,2010,Gross enrollement ratio - Primary (male),108.0
3798,Indonesia,2010,Gross enrollment ratio - Primary (female),112.2
3799,Indonesia,2010,Students enrolled in secondary education (thousands),"19,976"
3800,Indonesia,2010,Gross enrollment ratio - Secondary (male),74.1
3801,Indonesia,2010,Gross enrollment ratio - Secondary (female),75.0
3802,Indonesia,2010,Students enrolled in tertiary education (thousands),"5,001"
3803,Indonesia,2010,Gross enrollment ratio - Tertiary (male),24.2
3804,Indonesia,2010,Gross enrollment ratio - Tertiary (female),21.8
3805,Indonesia,2014,Students enrolled in primary education (thousands),"29,838"
3806,Indonesia,2014,Gross enrollement ratio - Primary (male),106.0
3807,Indonesia,2014,Gross enrollment ratio - Primary (female),103.4
3808,Indonesia,2014,Students enrolled in secondary education (thousands),"22,587"
3809,Indonesia,2014,Gross enrollment ratio - Secondary (male),83.6
3810,Indonesia,2014,Gross enrollment ratio - Secondary (female),83.5
3811,Indonesia,2014,Students enrolled in tertiary education (thousands),"6,463"
3812,Indonesia,2014,Gross enrollment ratio - Tertiary (male),27.8
3813,Indonesia,2014,Gross enrollment ratio - Tertiary (female),31.4
3814,Indonesia,2015,Students enrolled in primary education (thousands),"29,700"
3815,Indonesia,2015,Gross enrollement ratio - Primary (male),105.8
3816,Indonesia,2015,Gross enrollment ratio - Primary (female),102.4
3817,Indonesia,2015,Students enrolled in secondary education (thousands),"23,756"
3818,Indonesia,2015,Gross enrollment ratio - Secondary (male),86.9
3819,Indonesia,2015,Gross enrollment ratio - Secondary (female),87.8
3820,Indonesia,2015,Students enrolled in tertiary education (thousands),"5,108"
3821,Indonesia,2015,Gross enrollment ratio - Tertiary (male),21.9
3822,Indonesia,2015,Gross enrollment ratio - Tertiary (female),24.8
3823,Indonesia,2016,Students enrolled in primary education (thousands),"29,450"
3824,Indonesia,2016,Gross enrollement ratio - Primary (male),105.4
3825,Indonesia,2016,Gross enrollment ratio - Primary (female),101.4
3826,Indonesia,2016,Students enrolled in secondary education (thousands),"23,633"
3827,Indonesia,2016,Gross enrollment ratio - Secondary (male),84.5
3828,Indonesia,2016,Gross enrollment ratio - Secondary (female),87.7
3829,Indonesia,2016,Students enrolled in tertiary education (thousands),"6,141"
3830,Indonesia,2016,Gross enrollment ratio - Tertiary (male),26.5
3831,Indonesia,2016,Gross enrollment ratio - Tertiary (female),29.5
3832,Iran (Islamic Republic of),2005,Students enrolled in primary education (thousands),"6,207"
3833,Iran (Islamic Republic of),2005,Gross enrollement ratio - Primary (male),100.7
3834,Iran (Islamic Republic of),2005,Gross enrollment ratio - Primary (female),98.2
3835,Iran (Islamic Republic of),2005,Students enrolled in secondary education (thousands),"9,066"
3836,Iran (Islamic Republic of),2005,Gross enrollment ratio - Secondary (male),76.9
3837,Iran (Islamic Republic of),2005,Gross enrollment ratio - Secondary (female),74.1
3838,Iran (Islamic Republic of),2005,Students enrolled in tertiary education (thousands),"2,126"
3839,Iran (Islamic Republic of),2005,Gross enrollment ratio - Tertiary (male),22.2
3840,Iran (Islamic Republic of),2005,Gross enrollment ratio - Tertiary (female),23.5
3841,Iran (Islamic Republic of),2010,Students enrolled in primary education (thousands),"5,630"
3842,Iran (Islamic Republic of),2010,Gross enrollement ratio - Primary (male),105.7
3843,Iran (Islamic Republic of),2010,Gross enrollment ratio - Primary (female),104.8
3844,Iran (Islamic Republic of),2010,Students enrolled in secondary education (thousands),"7,347"
3845,Iran (Islamic Republic of),2010,Gross enrollment ratio - Secondary (male),82.2
3846,Iran (Islamic Republic of),2010,Gross enrollment ratio - Secondary (female),80.6
3847,Iran (Islamic Republic of),2010,Students enrolled in tertiary education (thousands),"3,791"
3848,Iran (Islamic Republic of),2010,Gross enrollment ratio - Tertiary (male),42.7
3849,Iran (Islamic Republic of),2010,Gross enrollment ratio - Tertiary (female),42.2
3850,Iran (Islamic Republic of),2014,Students enrolled in primary education (thousands),"7,441"
3851,Iran (Islamic Republic of),2014,Gross enrollement ratio - Primary (male),106.3
3852,Iran (Islamic Republic of),2014,Gross enrollment ratio - Primary (female),111.5
3853,Iran (Islamic Republic of),2014,Students enrolled in secondary education (thousands),"5,795"
3854,Iran (Islamic Republic of),2014,Gross enrollment ratio - Secondary (male),88.4
3855,Iran (Islamic Republic of),2014,Gross enrollment ratio - Secondary (female),87.8
3856,Iran (Islamic Republic of),2014,Students enrolled in tertiary education (thousands),"4,685"
3857,Iran (Islamic Republic of),2014,Gross enrollment ratio - Tertiary (male),68.0
3858,Iran (Islamic Republic of),2014,Gross enrollment ratio - Tertiary (female),63.2
3859,Iran (Islamic Republic of),2015,Students enrolled in primary education (thousands),"7,670"
3860,Iran (Islamic Republic of),2015,Gross enrollement ratio - Primary (male),105.8
3861,Iran (Islamic Republic of),2015,Gross enrollment ratio - Primary (female),111.6
3862,Iran (Islamic Republic of),2015,Students enrolled in secondary education (thousands),"5,712"
3863,Iran (Islamic Republic of),2015,Gross enrollment ratio - Secondary (male),88.8
3864,Iran (Islamic Republic of),2015,Gross enrollment ratio - Secondary (female),89.1
3865,Iran (Islamic Republic of),2015,Students enrolled in tertiary education (thousands),"4,803"
3866,Iran (Islamic Republic of),2015,Gross enrollment ratio - Tertiary (male),75.7
3867,Iran (Islamic Republic of),2015,Gross enrollment ratio - Tertiary (female),67.2
3868,Iran (Islamic Republic of),2016,Students enrolled in tertiary education (thousands),"4,348"
3869,Iran (Islamic Republic of),2016,Gross enrollment ratio - Tertiary (male),72.0
3870,Iran (Islamic Republic of),2016,Gross enrollment ratio - Tertiary (female),65.5
3871,Iraq,2004,Students enrolled in primary education (thousands),"4,335"
3872,Iraq,2004,Gross enrollement ratio - Primary (male),113.1
3873,Iraq,2004,Gross enrollment ratio - Primary (female),95.2
3874,Iraq,2004,Students enrolled in secondary education (thousands),"1,706"
3875,Iraq,2004,Gross enrollment ratio - Secondary (male),56.7
3876,Iraq,2004,Gross enrollment ratio - Secondary (female),38.2
3877,Iraq,2004,Students enrolled in tertiary education (thousands),413
3878,Iraq,2004,Gross enrollment ratio - Tertiary (male),19.8
3879,Iraq,2004,Gross enrollment ratio - Tertiary (female),11.8
3880,Iraq,2005,Students enrolled in tertiary education (thousands),425
3881,Iraq,2005,Gross enrollment ratio - Tertiary (male),20.0
3882,Iraq,2005,Gross enrollment ratio - Tertiary (female),11.9
3883,Iraq,2007,Students enrolled in primary education (thousands),"4,864"
3884,Iraq,2007,Gross enrollement ratio - Primary (male),117.0
3885,Iraq,2007,Gross enrollment ratio - Primary (female),98.7
3886,Iraq,2007,Students enrolled in secondary education (thousands),"2,038"
3887,Iraq,2007,Gross enrollment ratio - Secondary (male),61.0
3888,Iraq,2007,Gross enrollment ratio - Secondary (female),45.6
3889,Ireland,2005,Students enrolled in primary education (thousands),454
3890,Ireland,2005,Gross enrollement ratio - Primary (male),106.8
3891,Ireland,2005,Gross enrollment ratio - Primary (female),106.2
3892,Ireland,2005,Students enrolled in secondary education (thousands),317
3893,Ireland,2005,Gross enrollment ratio - Secondary (male),104.5
3894,Ireland,2005,Gross enrollment ratio - Secondary (female),114.5
3895,Ireland,2005,Students enrolled in tertiary education (thousands),187
3896,Ireland,2005,Gross enrollment ratio - Tertiary (male),47.9
3897,Ireland,2005,Gross enrollment ratio - Tertiary (female),60.6
3898,Ireland,2010,Students enrolled in primary education (thousands),506
3899,Ireland,2010,Gross enrollement ratio - Primary (male),106.4
3900,Ireland,2010,Gross enrollment ratio - Primary (female),106.9
3901,Ireland,2010,Students enrolled in secondary education (thousands),336
3902,Ireland,2010,Gross enrollment ratio - Secondary (male),120.6
3903,Ireland,2010,Gross enrollment ratio - Secondary (female),126.1
3904,Ireland,2010,Students enrolled in tertiary education (thousands),194
3905,Ireland,2010,Gross enrollment ratio - Tertiary (male),59.5
3906,Ireland,2010,Gross enrollment ratio - Tertiary (female),66.5
3907,Ireland,2014,Students enrolled in primary education (thousands),536
3908,Ireland,2014,Gross enrollement ratio - Primary (male),101.8
3909,Ireland,2014,Gross enrollment ratio - Primary (female),102.1
3910,Ireland,2014,Students enrolled in secondary education (thousands),348
3911,Ireland,2014,Gross enrollment ratio - Secondary (male),126.0
3912,Ireland,2014,Gross enrollment ratio - Secondary (female),127.9
3913,Ireland,2014,Students enrolled in tertiary education (thousands),204
3914,Ireland,2014,Gross enrollment ratio - Tertiary (male),75.6
3915,Ireland,2014,Gross enrollment ratio - Tertiary (female),79.3
3916,Ireland,2015,Students enrolled in primary education (thousands),545
3917,Ireland,2015,Gross enrollement ratio - Primary (male),101.2
3918,Ireland,2015,Gross enrollment ratio - Primary (female),101.3
3919,Ireland,2015,Students enrolled in secondary education (thousands),355
3920,Ireland,2015,Gross enrollment ratio - Secondary (male),125.9
3921,Ireland,2015,Gross enrollment ratio - Secondary (female),128.6
3922,Ireland,2015,Students enrolled in tertiary education (thousands),215
3923,Ireland,2015,Gross enrollment ratio - Tertiary (male),80.8
3924,Ireland,2015,Gross enrollment ratio - Tertiary (female),86.3
3925,Ireland,2016,Students enrolled in primary education (thousands),554
3926,Ireland,2016,Gross enrollement ratio - Primary (male),100.8
3927,Ireland,2016,Gross enrollment ratio - Primary (female),100.8
3928,Ireland,2016,Students enrolled in secondary education (thousands),360
3929,Ireland,2016,Gross enrollment ratio - Secondary (male),124.7
3930,Ireland,2016,Gross enrollment ratio - Secondary (female),127.7
3931,Ireland,2016,Students enrolled in tertiary education (thousands),218
3932,Israel,2005,Students enrolled in primary education (thousands),722
3933,Israel,2005,Gross enrollement ratio - Primary (male),103.3
3934,Israel,2005,Gross enrollment ratio - Primary (female),103.8
3935,Israel,2005,Students enrolled in secondary education (thousands),673
3936,Israel,2005,Gross enrollment ratio - Secondary (male),105.0
3937,Israel,2005,Gross enrollment ratio - Secondary (female),104.4
3938,Israel,2005,Students enrolled in tertiary education (thousands),311
3939,Israel,2005,Gross enrollment ratio - Tertiary (male),50.1
3940,Israel,2005,Gross enrollment ratio - Tertiary (female),66.4
3941,Israel,2009,Students enrolled in primary education (thousands),786
3942,Israel,2009,Gross enrollement ratio - Primary (male),102.6
3943,Israel,2009,Gross enrollment ratio - Primary (female),103.2
3944,Israel,2009,Students enrolled in secondary education (thousands),694
3945,Israel,2009,Gross enrollment ratio - Secondary (male),100.9
3946,Israel,2009,Gross enrollment ratio - Secondary (female),103.1
3947,Israel,2009,Students enrolled in tertiary education (thousands),343
3948,Israel,2009,Gross enrollment ratio - Tertiary (male),54.5
3949,Israel,2009,Gross enrollment ratio - Tertiary (female),70.7
3950,Israel,2010,Students enrolled in primary education (thousands),807
3951,Israel,2010,Gross enrollement ratio - Primary (male),104.0
3952,Israel,2010,Gross enrollment ratio - Primary (female),104.5
3953,Israel,2010,Students enrolled in secondary education (thousands),708
3954,Israel,2010,Gross enrollment ratio - Secondary (male),100.9
3955,Israel,2010,Gross enrollment ratio - Secondary (female),103.3
3956,Israel,2010,Students enrolled in tertiary education (thousands),360
3957,Israel,2014,Students enrolled in primary education (thousands),862
3958,Israel,2014,Gross enrollement ratio - Primary (male),103.8
3959,Israel,2014,Gross enrollment ratio - Primary (female),104.2
3960,Israel,2014,Students enrolled in secondary education (thousands),768
3961,Israel,2014,Gross enrollment ratio - Secondary (male),101.1
3962,Israel,2014,Gross enrollment ratio - Secondary (female),102.6
3963,Israel,2014,Students enrolled in tertiary education (thousands),377
3964,Israel,2014,Gross enrollment ratio - Tertiary (male),56.7
3965,Israel,2014,Gross enrollment ratio - Tertiary (female),76.2
3966,Israel,2015,Students enrolled in primary education (thousands),884
3967,Israel,2015,Gross enrollement ratio - Primary (male),104.2
3968,Israel,2015,Gross enrollment ratio - Primary (female),104.8
3969,Israel,2015,Students enrolled in secondary education (thousands),785
3970,Israel,2015,Gross enrollment ratio - Secondary (male),102.0
3971,Israel,2015,Gross enrollment ratio - Secondary (female),103.0
3972,Israel,2015,Students enrolled in tertiary education (thousands),374
3973,Israel,2015,Gross enrollment ratio - Tertiary (male),54.6
3974,Israel,2015,Gross enrollment ratio - Tertiary (female),75.5
3975,Israel,2016,Students enrolled in primary education (thousands),897
3976,Israel,2016,Gross enrollement ratio - Primary (male),103.2
3977,Israel,2016,Gross enrollment ratio - Primary (female),104.1
3978,Israel,2016,Students enrolled in secondary education (thousands),809
3979,Israel,2016,Gross enrollment ratio - Secondary (male),103.2
3980,Israel,2016,Gross enrollment ratio - Secondary (female),105.0
3981,Israel,2016,Students enrolled in tertiary education (thousands),378
3982,Israel,2016,Gross enrollment ratio - Tertiary (male),53.7
3983,Israel,2016,Gross enrollment ratio - Tertiary (female),75.2
3984,Italy,2005,Students enrolled in primary education (thousands),"2,771"
3985,Italy,2005,Gross enrollement ratio - Primary (male),101.8
3986,Italy,2005,Gross enrollment ratio - Primary (female),100.7
3987,Italy,2005,Students enrolled in secondary education (thousands),"4,507"
3988,Italy,2005,Gross enrollment ratio - Secondary (male),98.5
3989,Italy,2005,Gross enrollment ratio - Secondary (female),97.8
3990,Italy,2005,Students enrolled in tertiary education (thousands),"2,015"
3991,Italy,2005,Gross enrollment ratio - Tertiary (male),54.2
3992,Italy,2005,Gross enrollment ratio - Tertiary (female),74.2
3993,Italy,2010,Students enrolled in primary education (thousands),"2,822"
3994,Italy,2010,Gross enrollement ratio - Primary (male),102.4
3995,Italy,2010,Gross enrollment ratio - Primary (female),101.4
3996,Italy,2010,Students enrolled in secondary education (thousands),"4,626"
3997,Italy,2010,Gross enrollment ratio - Secondary (male),102.7
3998,Italy,2010,Gross enrollment ratio - Secondary (female),101.3
3999,Italy,2010,Students enrolled in tertiary education (thousands),"1,980"
4000,Italy,2010,Gross enrollment ratio - Tertiary (male),54.7
4001,Italy,2010,Gross enrollment ratio - Tertiary (female),78.0
4002,Italy,2014,Students enrolled in primary education (thousands),"2,863"
4003,Italy,2014,Gross enrollement ratio - Primary (male),102.0
4004,Italy,2014,Gross enrollment ratio - Primary (female),101.1
4005,Italy,2014,Students enrolled in secondary education (thousands),"4,597"
4006,Italy,2014,Gross enrollment ratio - Secondary (male),103.9
4007,Italy,2014,Gross enrollment ratio - Secondary (female),101.6
4008,Italy,2014,Students enrolled in tertiary education (thousands),"1,854"
4009,Italy,2014,Gross enrollment ratio - Tertiary (male),53.5
4010,Italy,2014,Gross enrollment ratio - Tertiary (female),73.8
4011,Italy,2015,Students enrolled in primary education (thousands),"2,856"
4012,Italy,2015,Gross enrollement ratio - Primary (male),101.6
4013,Italy,2015,Gross enrollment ratio - Primary (female),100.8
4014,Italy,2015,Students enrolled in secondary education (thousands),"4,606"
4015,Italy,2015,Gross enrollment ratio - Secondary (male),104.3
4016,Italy,2015,Gross enrollment ratio - Secondary (female),102.0
4017,Italy,2015,Students enrolled in tertiary education (thousands),"1,826"
4018,Italy,2015,Gross enrollment ratio - Tertiary (male),53.6
4019,Italy,2015,Gross enrollment ratio - Tertiary (female),72.7
4020,Jamaica,2002,Students enrolled in primary education (thousands),330
4021,Jamaica,2002,Gross enrollement ratio - Primary (male),96.3
4022,Jamaica,2002,Gross enrollment ratio - Primary (female),96.1
4023,Jamaica,2002,Students enrolled in secondary education (thousands),228
4024,Jamaica,2002,Gross enrollment ratio - Secondary (male),83.1
4025,Jamaica,2002,Gross enrollment ratio - Secondary (female),86.1
4026,Jamaica,2002,Students enrolled in tertiary education (thousands),45
4027,Jamaica,2002,Gross enrollment ratio - Tertiary (male),11.7
4028,Jamaica,2002,Gross enrollment ratio - Tertiary (female),25.5
4029,Jamaica,2004,Students enrolled in primary education (thousands),331
4030,Jamaica,2004,Gross enrollement ratio - Primary (male),96.1
4031,Jamaica,2004,Gross enrollment ratio - Primary (female),96.4
4032,Jamaica,2004,Students enrolled in secondary education (thousands),246
4033,Jamaica,2004,Gross enrollment ratio - Secondary (male),88.0
4034,Jamaica,2004,Gross enrollment ratio - Secondary (female),91.9
4035,Jamaica,2004,Students enrolled in tertiary education (thousands),52
4036,Jamaica,2005,Students enrolled in primary education (thousands),326
